operatingunit,psnu,psnuuid,fy17snuprioritization,cluster_psnu,cluster_psnu1,cluster_psnuuid,cluster_fy17snuprioritization,cluster_set,cluster_submitter,cluster_date
Tanzania,Ushetu DC,zU1Wnw8m86P,2 - Scale-Up: Aggressive,Kahama Cluster,[Clustered],yOhFCpn5sYb,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Kasulu DC,rw6jhJfCbOz,4 - Sustained,Kasulu Cluster,[Clustered],rw6jhJfCbOz,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Kasulu TC,NcKPF2NzcgG,4 - Sustained,Kasulu Cluster,[Clustered],rw6jhJfCbOz,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Kigoma DC,RltHtwb3yOs,4 - Sustained,Kigoma Cluster,[Clustered],RltHtwb3yOs,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Kigoma Ujiji MC,G08ogemsYzp,2 - Scale-Up: Aggressive,Kigoma Cluster,[Clustered],RltHtwb3yOs,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Korogwe DC,SBBOHilirRD,4 - Sustained,Korogwe Cluster,[Clustered],SBBOHilirRD,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Korogwe TC,qLs3Wo6g1N7,4 - Sustained,Korogwe Cluster,[Clustered],SBBOHilirRD,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Kyerwa DC,j8AIF1TBisq,4 - Sustained,Kyerwa-Missenyi Cluster,[Clustered],j8AIF1TBisq,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Missenyi DC,xA6NDbxZAgx,2 - Scale-Up: Aggressive,Kyerwa-Missenyi Cluster,[Clustered],j8AIF1TBisq,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Bumbuli DC,Q888YZfi0NN,4 - Sustained,Lushoto Cluster,[Clustered],Q888YZfi0NN,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Lushoto DC,sHvr0FGWAUI,4 - Sustained,Lushoto Cluster,[Clustered],Q888YZfi0NN,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Masasi DC,HjesRNKUP8l,1 - Scale-Up: Saturation,Masasi Cluster,[Clustered],HjesRNKUP8l,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Masasi TC,WSV5n7c6bgj,4 - Sustained,Masasi Cluster,[Clustered],HjesRNKUP8l,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Nanyumbu DC,L7ammFxiV2i,4 - Sustained,Masasi Cluster,[Clustered],HjesRNKUP8l,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Busokelo DC,WpCOOhK9N1f,4 - Sustained,Mbeya Cluster,[Clustered],WpCOOhK9N1f,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mbarali DC,olUCraJY2gF,1 - Scale-Up: Saturation,Mbeya Cluster,[Clustered],WpCOOhK9N1f,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mbeya CC,D3hgNLc7wl6,1 - Scale-Up: Saturation,Mbeya Cluster,[Clustered],WpCOOhK9N1f,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mbeya DC,tXYiT9KX7zA,1 - Scale-Up: Saturation,Mbeya Cluster,[Clustered],WpCOOhK9N1f,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Rungwe DC,u6JIzCOdBJ6,1 - Scale-Up: Saturation,Mbeya Cluster,[Clustered],WpCOOhK9N1f,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Morogoro DC,JTjAenidfVN,4 - Sustained,Morogoro Cluster,[Clustered],JTjAenidfVN,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Morogoro MC,XtlpVAd1gll,1 - Scale-Up: Saturation,Morogoro Cluster,[Clustered],JTjAenidfVN,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mvomero DC,jR3z7M5rpa1,2 - Scale-Up: Aggressive,Morogoro Cluster,[Clustered],JTjAenidfVN,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Hai DC,bVxRDDk5dhV,4 - Sustained,Moshi-Hai_Siha_Mwanga Cluster,[Clustered],bVxRDDk5dhV,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Moshi DC,AilOhUXA8aG,2 - Scale-Up: Aggressive,Moshi-Hai_Siha_Mwanga Cluster,[Clustered],bVxRDDk5dhV,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Moshi MC,CbnpwmuwDpe,1 - Scale-Up: Saturation,Moshi-Hai_Siha_Mwanga Cluster,[Clustered],bVxRDDk5dhV,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mwanga DC,feWqlZZmIFa,4 - Sustained,Moshi-Hai_Siha_Mwanga Cluster,[Clustered],bVxRDDk5dhV,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Siha DC,RKfeX87U7lA,4 - Sustained,Moshi-Hai_Siha_Mwanga Cluster,[Clustered],bVxRDDk5dhV,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mpanda DC,vAuW6hf6KGW,4 - Sustained,Mpanda Cluster,[Clustered],vAuW6hf6KGW,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mpanda TC,sHTZH3Q9xlL,2 - Scale-Up: Aggressive,Mpanda Cluster,[Clustered],vAuW6hf6KGW,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mtwara DC,UUsTAU2gBGi,4 - Sustained,Mtwara Cluster,[Clustered],UUsTAU2gBGi,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mtwara Mikindani MC,umEnbNJtWtC,4 - Sustained,Mtwara Cluster,[Clustered],UUsTAU2gBGi,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Nanyumba TC,bLRYxtb8oKx,4 - Sustained,Mtwara Cluster,[Clustered],UUsTAU2gBGi,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mafinga TC,cdSO66LSlGQ,4 - Sustained,Mufindi Cluster,[Clustered],cdSO66LSlGQ,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mufindi DC,AaejvOngJzv,1 - Scale-Up: Saturation,Mufindi Cluster,[Clustered],cdSO66LSlGQ,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Bunda DC,hZ6LXLhUGaP,1 - Scale-Up: Saturation,Musoma Cluster,[Clustered],hZ6LXLhUGaP,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Butiama DC,QAY9qFSQvjg,4 - Sustained,Musoma Cluster,[Clustered],hZ6LXLhUGaP,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Musoma DC,o8ekD6KEXWC,4 - Sustained,Musoma Cluster,[Clustered],hZ6LXLhUGaP,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Musoma MC,tWkfmVn0jNf,4 - Sustained,Musoma Cluster,[Clustered],hZ6LXLhUGaP,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Ilemela MC,Knm8JL1QpjL,2 - Scale-Up: Aggressive,Mwanza Cluster,[Clustered],Knm8JL1QpjL,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Nyamagana MC,RxbRsCG8uH4,1 - Scale-Up: Saturation,Mwanza Cluster,[Clustered],Knm8JL1QpjL,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Sengerema DC,if4TkLUE35J,2 - Scale-Up: Aggressive,Mwanza Cluster,[Clustered],Knm8JL1QpjL,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Ukerewe DC,cHzpHbKk60d,4 - Sustained,Mwanza Cluster,[Clustered],Knm8JL1QpjL,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Makambako TC,vBmzQj5y81A,1 - Scale-Up: Saturation,Njombe Cluster,[Clustered],vBmzQj5y81A,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Njombe DC,zLJGUZcLjAt,2 - Scale-Up: Aggressive,Njombe Cluster,[Clustered],vBmzQj5y81A,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Njombe TC,egae42w1g2E,1 - Scale-Up: Saturation,Njombe Cluster,[Clustered],vBmzQj5y81A,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Wanging'ombe DC,YLzPUD9clds,2 - Scale-Up: Aggressive,Njombe Cluster,[Clustered],vBmzQj5y81A,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Igunga DC,ggKkQlp4zmd,1 - Scale-Up: Saturation,Nzega Cluster,[Clustered],ggKkQlp4zmd,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Nzega DC,OaWlcFCzUIo,1 - Scale-Up: Saturation,Nzega Cluster,[Clustered],ggKkQlp4zmd,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Nzega TC,p12xvi2DKUD,4 - Sustained,Nzega Cluster,[Clustered],ggKkQlp4zmd,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Chake Chake,Iy2ohDSmZYT,4 - Sustained,Pemba Cluster,[Clustered],Iy2ohDSmZYT,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Wete,CtMgY8VZogi,4 - Sustained,Pemba Cluster,[Clustered],Iy2ohDSmZYT,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Kishapu DC,uWLJVNg0Cxm,1 - Scale-Up: Saturation,Shinyanga Cluster,[Clustered],uWLJVNg0Cxm,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Shinyanga DC,aW2XJGy2NZk,2 - Scale-Up: Aggressive,Shinyanga Cluster,[Clustered],uWLJVNg0Cxm,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Shinyanga MC,NLaq6KMNwa4,1 - Scale-Up: Saturation,Shinyanga Cluster,[Clustered],uWLJVNg0Cxm,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Hanang DC,AEQ2u8KCBcz,4 - Sustained,Singida-Hanang-Ikungi Cluster,[Clustered],AEQ2u8KCBcz,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Ikungi DC,pcW8gGVrMpY,4 - Sustained,Singida-Hanang-Ikungi Cluster,[Clustered],AEQ2u8KCBcz,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Singida DC,aG6kXOW4ihG,4 - Sustained,Singida-Hanang-Ikungi Cluster,[Clustered],AEQ2u8KCBcz,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Singida MC,EbUvkxSPwEL,4 - Sustained,Singida-Hanang-Ikungi Cluster,[Clustered],AEQ2u8KCBcz,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Namtumbo DC,cRUzcZywrbr,4 - Sustained,Songea-Namtumbo Cluster,[Clustered],cRUzcZywrbr,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Songea DC,ZuIC9W3V9Er,2 - Scale-Up: Aggressive,Songea-Namtumbo Cluster,[Clustered],cRUzcZywrbr,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Songea MC,RbzqqawWFey,1 - Scale-Up: Saturation,Songea-Namtumbo Cluster,[Clustered],cRUzcZywrbr,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Tabora MC,PFrXwIUcE6K,2 - Scale-Up: Aggressive,Tabora-Uyui Cluster,[Clustered],PFrXwIUcE6K,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Uyui DC,BG5sXQyiGAc,2 - Scale-Up: Aggressive,Tabora-Uyui Cluster,[Clustered],PFrXwIUcE6K,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mkinga DC,sGtdmRkxjoq,4 - Sustained,Tanga-Pangani-Muheza-Mkinga Cluster,[Clustered],sGtdmRkxjoq,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Muheza DC,TGM4xs5LMyc,4 - Sustained,Tanga-Pangani-Muheza-Mkinga Cluster,[Clustered],sGtdmRkxjoq,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Pangani DC,kSQrEY8a2Ka,4 - Sustained,Tanga-Pangani-Muheza-Mkinga Cluster,[Clustered],sGtdmRkxjoq,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Tanga CC,JEao7mAIwRc,1 - Scale-Up: Saturation,Tanga-Pangani-Muheza-Mkinga Cluster,[Clustered],sGtdmRkxjoq,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Tarime DC,gdCBbSRSOyW,4 - Sustained,Tarime Cluster,[Clustered],gdCBbSRSOyW,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Tarime TC,kFtnGYFsmaV,4 - Sustained,Tarime Cluster,[Clustered],gdCBbSRSOyW,4 - Sustained,1,N.Solehdin,1/17/2017
Tanzania,Kaskazini A,Exl9pUAc44P,4 - Sustained,Unguja/Zanziba Cluster,[Clustered],Exl9pUAc44P,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Magharibi,lg7nWpRVX85,4 - Sustained,Unguja/Zanziba Cluster,[Clustered],Exl9pUAc44P,[NOT DEFINED],1,N.Solehdin,1/17/2017
Tanzania,Mjini,KOlqevxMjvo,2 - Scale-Up: Aggressive,Unguja/Zanziba Cluster,[Clustered],Exl9pUAc44P,[NOT DEFINED],1,N.Solehdin,1/17/2017
